City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,6.72,72,0,3.09,AR,1686710353
1,rikitea,-23.1203,-134.9692,22.09,67,62,4.49,PF,1686710498
2,albany,42.6001,-73.9662,16.07,79,95,0.95,US,1686710473
3,ushuaia,-54.8,-68.3,5.81,65,75,1.54,AR,1686710517
4,busselton,-33.65,115.3333,15.08,69,57,4.66,AU,1686710496
5,vaini,-21.2,-175.2,24.09,69,40,2.06,TO,1686710576
6,hilo,19.7297,-155.09,25.85,76,100,5.14,US,1686710362
7,tasiilaq,65.6145,-37.6368,6.09,99,100,5.36,GL,1686710568
8,leningradskiy,69.3833,178.4167,-0.22,97,100,10.23,RU,1686710678
9,qaanaaq,77.484,-69.3632,-3.77,85,31,1.96,GL,1686710500
10,tilichiki,60.4667,166.1,12.59,35,64,6.52,RU,1686711074
11,arraial do cabo,-22.9661,-42.0278,21.44,90,8,2.56,BR,1686710527
12,ahipara,-35.1667,173.1667,16.57,57,5,1.64,NZ,1686710715
13,punta arenas,-53.15,-70.9167,3.06,93,100,3.6,CL,1686710519
14,valparaiso,-33.0393,-71.6273,5.8,93,0,2.06,CL,1686710836
15,santa luzia,-19.7697,-43.8514,19.5,68,0,2.06,BR,1686711076
16,avarua,-21.2078,-159.775,23.03,68,100,1.54,CK,1686710539
17,east london,-33.0153,27.9116,18.58,39,58,4.64,ZA,1686710537
18,castro,-24.7911,-50.0119,9.63,98,100,3.93,BR,1686710560
19,atuona,-9.8,-139.0333,27.01,78,9,9.29,PF,1686710549
20,svetlogorsk,52.6333,29.7333,12.84,82,100,2.27,BY,1686711079
21,saskylakh,71.9167,114.0833,22.51,21,65,5.79,RU,1686710552
22,hokitika,-42.7167,170.9667,12.52,63,32,1.77,NZ,1686711079
23,mataura,-46.1927,168.8643,10.04,73,64,0.99,NZ,1686710500
24,college,64.8569,-147.8028,17.99,40,75,6.17,US,1686710595
25,hobart,-42.8794,147.3294,14.59,74,75,3.6,AU,1686710526
26,cockburn town,21.4612,-71.1419,27.86,87,38,9.16,TC,1686710339
27,guerrero negro,27.9769,-114.0611,16.61,84,100,8.58,MX,1686710553
28,chipurupalle,18.3,83.5667,36.35,34,79,3.46,IN,1686711082
29,beloha,-25.1667,45.05,16.78,91,0,3.33,MG,1686711083
30,port alfred,-33.5906,26.891,18.99,48,58,4.02,ZA,1686710493
31,oranjemund,-28.55,16.4333,11.96,83,28,1.25,NA,1686710713
32,preston,53.7667,-2.7167,15.18,64,5,3.61,GB,1686711085
33,shihezi,44.3,86.0333,29.73,15,88,1.11,CN,1686711085
34,kapaa,22.0752,-159.319,28.99,83,100,6.69,US,1686710516
35,comodoro rivadavia,-45.8667,-67.5,6.92,76,75,3.09,AR,1686710666
36,nikolskoye,59.7035,30.7861,16.0,56,20,1.52,RU,1686710544
37,grenville,12.1167,-61.6167,29.03,80,16,8.84,GD,1686711087
38,penugonda,16.6667,81.7333,36.31,37,97,7.08,IN,1686711087
39,barrow,71.2906,-156.7887,14.01,58,0,6.17,US,1686710603
40,cape town,-33.9258,18.4232,15.23,95,100,12.35,ZA,1686710536
41,mahebourg,-20.4081,57.7,22.36,94,20,2.57,MU,1686710567
42,cidreira,-30.1811,-50.2056,14.34,77,100,1.33,BR,1686710592
43,pingdingshan,33.7385,113.3012,33.76,24,0,1.83,CN,1686711090
44,severo-kurilsk,50.6789,156.125,9.41,89,87,2.32,RU,1686710635
45,wukari,7.85,9.7833,23.42,93,97,2.24,NG,1686711091
46,pinega,64.7001,43.3936,9.71,68,43,1.53,RU,1686711091
47,vila,42.0304,-8.1588,10.49,99,44,0.77,PT,1686711092
48,dunedin,-45.8742,170.5036,12.67,62,58,1.34,NZ,1686710866
49,tuktoyaktuk,69.4541,-133.0374,9.0,87,100,6.17,CA,1686710497
50,new norfolk,-42.7826,147.0587,14.4,75,90,1.71,AU,1686710497
51,taoudenni,22.6783,-3.9836,32.84,16,0,5.74,ML,1686711093
52,acapulco,16.8634,-99.8901,29.9,79,40,2.57,MX,1686710936
53,bambous virieux,-20.3428,57.7575,22.34,94,20,2.57,MU,1686710539
54,saint-philippe,-21.3585,55.7679,21.77,74,0,0.7,RE,1686710513
55,jijiga,9.35,42.8,16.72,83,95,4.63,ET,1686711095
56,rocha,-34.4833,-54.3333,4.19,85,0,1.61,UY,1686710699
57,bengkulu,-3.8004,102.2655,26.1,88,95,0.64,ID,1686710540
58,butaritari,3.0707,172.7902,28.8,77,13,6.08,KI,1686710528
59,kruisfontein,-34.0033,24.7314,17.71,47,97,7.64,ZA,1686710621
60,roebourne,-20.7833,117.1333,25.25,23,0,6.21,AU,1686711097
61,tucuma,-0.1833,-50.05,24.41,92,87,2.57,BR,1686711098
62,port elizabeth,-33.918,25.5701,19.62,44,0,6.17,ZA,1686710287
63,florianopolis,-27.6146,-48.5012,13.0,97,100,4.63,BR,1686710810
64,poum,-20.2333,164.0167,23.37,65,10,2.27,NC,1686710746
65,ohara,35.25,140.3833,21.34,93,100,4.17,JP,1686711099
66,pevek,69.7008,170.3133,-0.5,87,100,7.87,RU,1686710532
67,bethel,41.3712,-73.414,18.75,77,75,1.54,US,1686710533
68,metro,-5.1131,105.3067,28.91,73,64,2.14,ID,1686711101
69,thompson,55.7435,-97.8558,11.09,54,75,1.54,CA,1686711101
70,rafraf,37.1904,10.1837,21.17,85,100,5.59,TN,1686711102
71,vostok,46.4856,135.8833,22.35,45,79,3.36,RU,1686710527
72,kahului,20.8947,-156.47,30.01,67,40,10.29,US,1686710556
73,yerbogachen,61.2767,108.0108,15.41,54,100,4.81,RU,1686711104
74,port augusta,-32.5,137.7667,17.07,48,9,4.88,AU,1686711104
75,banda aceh,5.5577,95.3222,30.83,59,86,4.83,ID,1686711104
76,kalianget,-7.05,113.9333,28.5,67,68,6.0,ID,1686711105
77,provideniya,64.3833,-173.3,2.06,100,100,9.0,RU,1686710557
78,chokurdakh,70.6333,147.9167,9.08,28,1,4.0,RU,1686710521
79,severobaykalsk,55.65,109.3167,9.13,72,67,1.74,RU,1686711106
80,pokhara,28.2333,83.9833,29.46,44,54,1.89,NP,1686711106
81,cabo san lucas,22.8909,-109.9124,29.61,51,0,2.06,MX,1686710509
82,viedma,-40.8135,-62.9967,8.85,24,46,7.04,AR,1686710586
83,nhulunbuy,-12.2333,136.7667,29.34,61,40,8.23,AU,1686711108
84,vysokogornyy,50.1167,139.15,16.08,64,95,2.31,RU,1686711108
85,canto do buriti,-8.11,-42.9444,21.41,78,0,1.87,BR,1686711108
86,areka,7.0667,37.7,14.98,93,98,0.75,ET,1686711109
87,chapais,49.7834,-74.8492,16.88,96,100,2.26,CA,1686711109
88,lunglei,22.8833,92.7333,27.22,64,36,2.43,IN,1686711110
89,nongan,44.382,125.1685,27.44,35,52,3.78,CN,1686711110
90,ostrovnoy,68.0531,39.5131,6.98,67,46,8.69,RU,1686711112
91,belmonte,-15.8631,-38.8828,22.82,83,7,1.76,BR,1686711112
92,los llanos de aridane,28.6585,-17.9182,17.86,73,20,4.12,ES,1686710653
93,puerto ayora,-0.7393,-90.3518,26.42,90,100,5.36,EC,1686711113
94,vestmannaeyjar,63.4427,-20.2734,9.35,71,60,1.88,IS,1686710552
95,yicheng,31.3705,119.8703,29.11,49,30,1.87,CN,1686711114
96,verkh-tula,54.8839,82.7762,12.88,58,0,2.0,RU,1686711115
97,plettenberg bay,-34.0527,23.3716,15.71,57,89,6.24,ZA,1686710576
98,palu,-0.8917,119.8707,25.58,90,100,1.47,ID,1686711115
99,vagur,61.4732,-6.8119,9.42,79,95,5.25,FO,1686710586
100,georgetown,5.4112,100.3354,27.96,94,40,0.0,MY,1686710828
101,borovoy,55.4333,86.0833,13.6,54,20,3.0,RU,1686711116
102,dinar,38.065,30.1656,13.98,93,96,1.41,TR,1686711117
103,yellowknife,62.456,-114.3525,14.29,67,75,1.54,CA,1686710946
104,kuybysheve,47.358,36.6491,14.32,93,93,4.81,UA,1686711118
105,fereydunshahr,32.941,50.121,16.59,26,0,1.09,IR,1686711118
106,jamestown,42.097,-79.2353,12.8,84,100,2.57,US,1686710836
107,narsaq,60.9167,-46.05,8.12,99,100,0.82,GL,1686711119
108,hermanus,-34.4187,19.2345,14.33,93,100,11.84,ZA,1686711119
109,chuy,-33.6971,-53.4616,7.82,77,21,1.83,UY,1686710602
110,tarime,-1.35,34.3667,16.43,89,82,1.42,TZ,1686711120
111,ribeira grande,38.5167,-28.7,19.87,95,43,6.26,PT,1686710642
112,columbia,34.0007,-81.0348,23.71,68,0,3.6,US,1686711103
113,shimoda,34.6667,138.95,24.2,94,100,4.55,JP,1686711122
114,baruni,25.4833,85.9833,37.06,36,4,2.54,IN,1686711122
115,bluff,-46.6,168.3333,10.14,71,94,2.56,NZ,1686711123
116,ucluelet,48.9329,-125.5528,12.83,79,0,2.24,CA,1686711123
117,bar harbor,44.3876,-68.2039,15.71,83,100,2.06,US,1686710471
118,atambua,-9.1061,124.8925,27.4,45,100,1.39,ID,1686711124
119,iqaluit,63.7506,-68.5145,1.85,74,75,2.57,CA,1686710670
120,lagoa,39.05,-27.9833,18.49,88,43,7.09,PT,1686711125
121,takoradi,4.8845,-1.7554,24.46,80,14,3.58,GH,1686710673
122,souillac,-20.5167,57.5167,20.21,94,20,2.57,MU,1686710666
