City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constitucion,-35.3333,-72.4167,14.17,76,98,3.26,CL,1687191071
1,ushuaia,-54.8,-68.3,4.81,70,0,2.57,AR,1687190937
2,katobu,-4.9408,122.5276,22.72,85,66,1.96,ID,1687191072
3,bluff,-46.6,168.3333,7.77,88,25,3.19,NZ,1687190923
4,egvekinot,66.3167,-179.1667,2.5,88,100,1.81,RU,1687191073
5,hue,16.4667,107.6,30.06,70,40,1.03,VN,1687191073
6,tura,25.5198,90.2201,23.16,95,74,2.95,IN,1687190948
7,busselton,-33.65,115.3333,14.07,70,100,6.64,AU,1687190915
8,catuday,16.2923,119.8062,27.1,76,36,1.45,PH,1687191074
9,punta arenas,-53.15,-70.9167,5.06,75,75,8.75,CL,1687190782
10,puerto ayora,-0.7393,-90.3518,28.98,92,46,3.13,EC,1687190911
11,rikitea,-23.1203,-134.9692,24.78,80,100,8.24,PF,1687190908
12,avarua,-21.2078,-159.775,23.03,100,75,0.51,CK,1687191033
13,mataura,-46.1927,168.8643,5.44,98,37,1.55,NZ,1687190907
14,coolum beach,-26.5333,153.1,11.85,87,0,3.89,AU,1687191078
15,nizhniy baskunchak,48.2198,46.8311,21.05,29,0,5.19,RU,1687191078
16,victoria,22.2855,114.1577,29.62,84,12,4.02,HK,1687190914
17,narsaq,60.9167,-46.05,13.12,69,10,3.38,GL,1687190907
18,yar-sale,66.8333,70.8333,6.41,68,86,5.21,RU,1687191022
19,hami,42.8,93.45,31.28,9,59,1.91,CN,1687191080
20,adrar,20.5022,-10.0711,41.22,8,6,2.38,MR,1687191081
21,mehamn,71.0357,27.8492,10.97,66,6,2.57,NO,1687191081
22,sitka,57.0531,-135.33,11.94,82,0,2.06,US,1687190937
23,carnarvon,-24.8667,113.6333,18.93,74,83,3.88,AU,1687190919
24,new norfolk,-42.7826,147.0587,4.4,71,18,0.89,AU,1687190933
25,yellowknife,62.456,-114.3525,13.04,50,16,2.49,CA,1687190948
26,lorengau,-2.0226,147.2712,27.09,82,70,3.42,PG,1687190920
27,airai,-8.9266,125.4092,13.27,87,45,0.93,TL,1687190984
28,port hardy,50.6996,-127.4199,10.94,82,100,0.31,CA,1687190991
29,cape town,-33.9258,18.4232,15.21,66,28,5.36,ZA,1687190883
30,esperance,-33.8667,121.9,11.08,64,51,8.18,AU,1687190973
31,lebu,-37.6167,-73.65,12.95,59,95,1.15,CL,1687190975
32,hilo,19.7297,-155.09,21.25,94,100,3.09,US,1687190807
33,vardo,70.3705,31.1107,6.99,87,100,2.57,NO,1687191087
34,nanortalik,60.1432,-45.2371,2.75,82,59,1.25,GL,1687190919
35,nikki,9.9401,3.2108,33.26,46,100,1.73,BJ,1687191088
36,tarrafal,15.2833,-23.7667,24.68,81,25,6.29,CV,1687191088
37,arraial do cabo,-22.9661,-42.0278,21.92,64,75,3.09,BR,1687190968
38,hithadhoo,-0.6,73.0833,28.93,72,21,5.85,MV,1687190986
39,baykit,61.67,96.37,5.98,91,64,0.68,RU,1687191089
40,bahia de caraquez,-0.6,-80.4167,29.1,84,100,3.05,EC,1687191090
41,sorong,-0.8833,131.25,25.6,91,100,5.16,ID,1687191090
42,coquimbo,-29.9533,-71.3436,20.85,45,0,2.06,CL,1687190925
43,barrow,71.2906,-156.7887,6.01,81,100,3.6,US,1687190963
44,koumac,-20.5667,164.2833,19.65,79,1,1.49,NC,1687191091
45,san cristobal,7.7669,-72.225,24.09,70,81,3.65,VE,1687191024
46,jamestown,42.097,-79.2353,26.68,42,0,4.63,US,1687190932
47,chancay,-11.5714,-77.2672,21.4,72,48,3.8,PE,1687191092
48,guerrero negro,27.9769,-114.0611,18.84,79,100,4.89,MX,1687191093
49,atuona,-9.8,-139.0333,27.33,65,60,5.23,PF,1687190927
50,vaini,-21.2,-175.2,22.9,58,92,5.19,TO,1687190912
51,tasiilaq,65.6145,-37.6368,1.41,83,7,0.27,GL,1687190949
52,finschhafen,-6.6024,147.8681,25.61,81,44,3.39,PG,1687191094
53,hofn,64.2539,-15.2082,10.61,82,90,2.27,IS,1687191095
54,owando,-0.4819,15.8999,25.28,87,93,1.89,CG,1687191095
55,arlit,18.7369,7.3853,42.49,11,96,2.98,NE,1687190930
56,chokurdakh,70.6333,147.9167,12.58,52,97,2.1,RU,1687190929
57,lasa,46.6166,10.7002,22.14,77,84,1.55,IT,1687191026
58,redwater,33.3582,-94.2544,32.17,63,0,1.11,US,1687191097
59,san carlos de bariloche,-41.1456,-71.3082,4.02,65,75,4.12,AR,1687190978
60,codrington,-38.2667,141.9667,8.17,68,88,2.87,AU,1687191098
61,khatanga,71.9667,102.5,6.14,89,100,9.82,RU,1687190664
62,naron,43.5167,-8.1528,21.13,94,99,2.19,ES,1687191099
63,faanui,-16.4833,-151.75,26.95,73,5,1.98,PF,1687190982
64,boda,4.3189,17.4695,21.83,96,100,1.1,CF,1687191101
65,arua,3.0201,30.9111,21.8,77,100,0.85,UG,1687191089
66,acajutla,13.5928,-89.8275,30.28,62,44,2.13,SV,1687190947
67,matagami,49.7502,-77.6328,24.06,38,0,3.09,CA,1687191102
68,igboho,8.8333,3.75,29.16,68,89,1.82,NG,1687191102
69,hobart,-42.8794,147.3294,4.59,81,75,3.6,AU,1687190910
70,quatre cocos,-20.2078,57.7625,23.06,66,92,6.49,MU,1687191103
71,provideniya,64.3833,-173.3,5.78,80,9,2.25,RU,1687190940
72,port alfred,-33.5906,26.891,13.58,64,96,12.71,ZA,1687190935
73,lata,40.1629,-8.3327,22.18,72,100,3.09,PT,1687191104
74,roma,43.2128,-75.4557,24.76,54,0,3.09,US,1687191105
75,nikolskoye,59.7035,30.7861,24.95,30,11,1.81,RU,1687190973
76,arco,45.9177,10.8867,27.3,72,91,2.09,IT,1687191106
77,bambous virieux,-20.3428,57.7575,23.14,60,75,5.66,MU,1687191107
78,tortoli,39.9256,9.6572,26.26,52,100,4.05,IT,1687191107
79,opuwo,-18.0607,13.84,25.14,11,0,1.79,NA,1687191107
80,ribas do rio pardo,-20.4431,-53.7592,21.88,49,0,4.2,BR,1687191108
81,yelan,50.949,43.7378,17.87,61,55,1.2,RU,1687191109
82,puerto escondido,15.85,-97.0667,32.46,66,40,2.57,MX,1687191063
83,minna,9.6139,6.5569,31.18,59,99,1.43,NG,1687191110
84,esmeraldas,-19.7625,-44.3139,23.48,35,0,2.19,BR,1687191111
85,albany,42.6001,-73.9662,23.43,62,4,0.89,US,1687190748
86,butaritari,3.0707,172.7902,28.35,77,100,3.92,KI,1687190951
87,marzuq,14.4,46.4667,29.35,46,32,4.18,YE,1687191113
88,port elizabeth,-33.918,25.5701,12.95,62,59,1.79,ZA,1687190888
89,palana,59.1167,159.9667,5.57,90,82,3.35,RU,1687191025
90,ostrovnoy,68.0531,39.5131,5.09,75,89,5.92,RU,1687190943
91,saldanha,-33.0117,17.9442,13.34,65,76,8.16,ZA,1687190972
92,ahipara,-35.1667,173.1667,12.34,83,96,2.32,NZ,1687191060
93,mackay,-21.15,149.2,15.38,82,6,2.26,AU,1687191115
94,katsuura,35.1333,140.3,19.83,74,93,4.65,JP,1687191061
95,aklavik,68.2191,-135.0107,15.02,56,19,2.89,CA,1687191116
96,varadero,23.1536,-81.2514,32.42,59,0,2.51,CU,1687191117
97,san pedro,14.35,121.0167,27.57,89,100,2.57,PH,1687190905
98,el alto,-4.2714,-81.2147,26.81,67,13,2.29,PE,1687191117
99,eagle,43.6954,-116.354,13.56,67,20,10.29,US,1687191118
100,geraldton,-28.7667,114.6,9.23,87,0,4.12,AU,1687191029
101,nome,64.5011,-165.4064,3.42,100,100,1.54,US,1687191119
102,kavieng,-2.5744,150.7967,27.2,81,46,3.6,PG,1687190945
103,puerto lopez,4.0845,-72.956,27.63,70,1,2.55,CO,1687191119
104,paracuru,-3.41,-39.0306,28.39,62,33,5.09,BR,1687190833
105,pimenta bueno,-11.6725,-61.1936,30.6,43,0,0.39,BR,1687190847
106,ancud,-41.8697,-73.8203,8.31,68,1,4.08,CL,1687191121
107,manaus,-3.1019,-60.025,29.27,70,40,2.57,BR,1687191121
108,ponta do sol,32.6667,-17.1,24.45,80,57,3.45,PT,1687190767
109,sept-iles,50.2001,-66.3821,13.92,81,97,2.68,CA,1687191122
110,abu dhabi,24.4667,54.3667,34.41,58,8,2.8,AE,1687190864
111,amapa,1.0,-52.0,32.65,46,9,1.13,BR,1687191123
112,thompson,55.7435,-97.8558,25.12,39,100,6.06,CA,1687190966
113,saint-philippe,-21.3585,55.7679,21.77,72,47,4.52,RE,1687190913
114,yulara,-25.2406,130.9889,14.26,51,100,0.34,AU,1687190909
115,castro,-24.7911,-50.0119,16.28,57,9,2.56,BR,1687191000
116,itoman,26.1247,127.6694,26.89,100,75,4.12,JP,1687190981
